name,category,light_condition,location_type,space_required,care_time,experience_level,feng_shui_meaning,description,care_tips
Cây Mai Vàng,Cây Tết,high,outdoor,large,high,intermediate,wealth|luck,Cây mai vàng là biểu tượng của Tết cổ truyền miền Nam. Hoa vàng rực rỡ mang đến may mắn và tài lộc cho gia chủ.,Cần nhiều ánh sáng trực tiếp. Tưới nước đều đặn nhưng tránh úng. Bón phân trước Tết 2-3 tháng.
Cây Quất,Cây Tết,high,both,medium,medium,beginner,wealth|luck,Cây quất với quả vàng óng tượng trưng cho sự sung túc và may mắn. Phổ biến trong dịp Tết miền Bắc.,Đặt nơi có ánh sáng tốt. Tưới nước khi đất khô. Bón phân hữu cơ định kỳ.
Cây Đào,Cây Tết,high,outdoor,large,high,intermediate,love|luck,Hoa đào hồng tươi thắm là biểu tượng của mùa xuân miền Bắc. Mang ý nghĩa về tình yêu và sự khởi đầu mới.,Cần nhiều ánh sáng. Tưới nước thường xuyên trong mùa ra hoa. Cắt tỉa sau Tết.
Cây Kim Ngân,Cây Phong Thủy,medium,indoor,small,low,beginner,wealth|air_purifying,Cây kim ngân (cây tiền) có lá tròn như đồng xu. Dễ trồng và mang lại tài lộc theo phong thủy.,Chịu bóng tốt. Tưới nước 1-2 lần/tuần. Rất dễ chăm sóc cho người mới.
Cây Phát Tài,Cây Phong Thủy,medium,indoor,medium,low,beginner,wealth,Cây phát tài có thân bện độc đáo. Tượng trưng cho sự phát triển và thịnh vượng trong kinh doanh.,Ánh sáng gián tiếp. Tưới nước khi đất khô 2-3cm. Tránh úng nước.
Cây Lưỡi Hổ,Cây Cảnh Lá,low,indoor,small,low,beginner,air_purifying|health,Lưỡi hổ có khả năng thanh lọc không khí tuyệt vời. Rất dễ sống và ít cần chăm sóc.,Chịu bóng rất tốt. Tưới nước 1 lần/tuần. Tránh tưới quá nhiều.
Cây Trầu Bà,Cây Cảnh Lá,low,indoor,small,low,beginner,air_purifying,Trầu bà có nhiều giống với lá đẹp. Thanh lọc không khí và dễ trồng trong nhà.,Ưa bóng râm. Tưới nước khi đất khô. Phun sương lên lá thường xuyên.
Cây Lan Ý,Cây Cảnh Lá,low,indoor,small,low,beginner,luck|air_purifying,Lan Ý có lá xanh mướt quanh năm. Mang lại may mắn và thanh lọc không khí hiệu quả.,Chịu bóng tốt. Tưới nước 2-3 lần/tuần. Lau lá để tránh bụi bám.
Cây Hoa Hồng,Cây Hoa,high,outdoor,medium,high,intermediate,love|health,Hoa hồng là nữ hoàng của các loài hoa. Tượng trưng cho tình yêu và sự lãng mạn.,Cần nhiều ánh sáng. Tưới nước đều đặn. Bón phân và cắt tỉa thường xuyên.
Cây Hoa Giấy,Cây Hoa,high,outdoor,large,medium,intermediate,luck|health,Hoa giấy nở rực rỡ nhiều màu sắc. Chịu nắng tốt và dễ chăm sóc ở ngoài trời.,Cần ánh sáng mạnh. Tưới ít nước. Bón phân lân để ra hoa nhiều.
Cây Lộc Vừng,Cây Cảnh Lá,medium,indoor,small,low,beginner,wealth|luck,Lộc vừng có lá nhỏ xanh mướt. Thường được tạo dáng bonsai rất đẹp.,Ánh sáng vừa phải. Tưới nước đều đặn. Cắt tỉa để tạo dáng.
Cây Thiết Mộc Lan,Cây Cảnh Lá,low,indoor,small,low,beginner,air_purifying|health,Thiết mộc lan có lá dài thanh thoát. Lọc không khí tốt và rất dễ trồng.,Chịu bóng. Tưới nước 1-2 lần/tuần. Bón phân loãng 1 tháng/lần.
Cây Cau Tiểu Trâm,Cây Cảnh Lá,medium,indoor,medium,medium,beginner,air_purifying|health,Cau tiểu trâm mang vẻ đẹp nhiệt đới. Lọc không khí và tạo không gian xanh mát.,Ánh sáng gián tiếp. Tưới nước thường xuyên. Phun sương để tăng độ ẩm.
Cây Tùng La Hán,Cây Cảnh Lá,medium,outdoor,medium,medium,intermediate,health|luck,Tùng la hán tượng trưng cho sự trường thọ và bền bỉ. Thường được tạo dáng bonsai.,Ánh sáng tốt. Tưới nước vừa phải. Cắt tỉa và tạo dáng thường xuyên.
Cây Ngọc Ngân,Cây Cảnh Lá,low,indoor,small,low,beginner,wealth|air_purifying,Ngọc ngân có lá đốm trắng đẹp mắt. Dễ trồng và mang ý nghĩa tài lộc.,Chịu bóng tốt. Tưới nước khi đất khô. Lau lá để giữ màu đẹp.
Cây Hạnh Phúc,Cây Phong Thủy,medium,indoor,medium,low,beginner,health|luck,Cây hạnh phúc mang ý nghĩa tốt lành. Lá xanh tươi quanh năm và dễ chăm sóc.,Ánh sáng gián tiếp. Tưới nước 2-3 lần/tuần. Tránh ánh nắng trực tiếp.
Cây Vạn Niên Thanh,Cây Cảnh Lá,low,indoor,small,low,beginner,health|air_purifying,Vạn niên thanh tượng trưng cho sự trường thọ. Lá xanh quanh năm và rất dễ sống.,Chịu bóng tốt. Tưới nước ít. Rất phù hợp cho người bận rộn.
Cây Hoa Lan,Cây Hoa,medium,indoor,small,high,expert,love|luck,Hoa lan quý phái và thanh tao. Có nhiều loại với màu sắc đa dạng.,Ánh sáng gián tiếp. Tưới nước cẩn thận. Cần kinh nghiệm để chăm sóc tốt.
Cây Trúc Nhật,Cây Cảnh Lá,medium,indoor,small,low,beginner,luck|health,Trúc nhật mang vẻ đẹp Á Đông. Dễ trồng và mang lại may mắn cho gia chủ.,Ánh sáng vừa phải. Tưới nước thường xuyên. Phun sương lên lá.
Cây Dương Xỉ,Cây Cảnh Lá,low,indoor,small,medium,beginner,air_purifying|health,Dương xỉ có lá xanh mướt. Lọc không khí tốt và tạo không gian mát mẻ.,Ưa bóng ẩm. Tưới nước thường xuyên. Phun sương để tăng độ ẩm.
Cây Bàng Singapore,Cây Cảnh Lá,medium,both,large,medium,intermediate,air_purifying|health,Bàng Singapore có tán lá rộng đẹp. Thích hợp trồng trong nhà hoặc sân vườn.,Ánh sáng vừa phải. Tưới nước đều đặn. Cắt tỉa để tạo dáng.
Cây Hoa Sứ,Cây Hoa,high,outdoor,medium,medium,intermediate,love|health,Hoa sứ có hương thơm ngào ngạt. Hoa trắng tinh khôi rất được ưa chuộng.,Cần nhiều ánh sáng. Tưới nước vừa phải. Bón phân để ra hoa đều.
Cây Tùng Thơm,Cây Cảnh Lá,medium,indoor,small,low,beginner,health|air_purifying,Tùng thơm có hương thơm dễ chịu. Lọc không khí và đuổi muỗi hiệu quả.,Ánh sáng gián tiếp. Tưới nước vừa phải. Tỉa cành để giữ dáng đẹp.
Cây Lá Bỏng,Cây Cảnh Lá,low,indoor,small,low,beginner,air_purifying,Lá bỏng có lá to màu xanh đậm. Thanh lọc không khí và rất dễ trồng.,Chịu bóng tốt. Tưới nước khi đất khô. Lau lá thường xuyên.
Cây Hồng Môn,Cây Hoa,medium,indoor,small,medium,intermediate,love|luck,Hồng môn có hoa đỏ rực rỡ quanh năm. Mang ý nghĩa may mắn và tình yêu.,Ánh sáng gián tiếp. Tưới nước đều đặn. Bón phân để hoa đẹp.
Cây Trầu Không,Cây Cảnh Lá,low,indoor,small,low,beginner,health|air_purifying,Trầu không có công dụng chữa bệnh. Lá xanh đẹp và dễ chăm sóc.,Chịu bóng. Tưới nước thường xuyên. Hái lá để sử dụng.
Cây Phú Quý,Cây Phong Thủy,medium,indoor,medium,low,beginner,wealth|luck,Cây phú quý mang ý nghĩa giàu sang phú quý. Thân tre xanh mướt rất đẹp mắt.,Ánh sáng gián tiếp. Tưới nước đều đặn. Thay nước nếu trồng thủy canh.
Cây Ngũ Gia Bì,Cây Cảnh Lá,medium,indoor,medium,medium,beginner,health|air_purifying,Ngũ gia bì có lá xòe như bàn tay. Lọc không khí và mang lại năng lượng tích cực.,Ánh sáng vừa phải. Tưới nước 2-3 lần/tuần. Cắt tỉa để tạo dáng.
Cây Móng Rồng,Cây Hoa,high,outdoor,medium,medium,beginner,luck|health,Móng rồng có hoa đỏ cam rực rỡ. Dễ trồng và nở hoa quanh năm.,Cần nhiều ánh sáng. Tưới nước vừa phải. Chịu hạn tốt.
Cây Tùng Bồng Lai,Cây Cảnh Lá,medium,indoor,small,low,beginner,health|luck,Tùng bồng lai có lá mềm mại đẹp mắt. Thường được tạo dáng mini rất xinh.,Ánh sáng gián tiếp. Tưới nước đều đặn. Phun sương thường xuyên.
